image_path,textile_score
input/Fall2D_batch_20260330_195226/rpgTile129_stylized_Fall2D.jpg,0.60785562
input/Fall2D_batch_20260330_195226/rpgTile130_stylized_Fall2D.jpg,0.65741897
input/Fall2D_batch_20260330_195226/rpgTile131_stylized_Fall2D.jpg,0.67238915
input/Fall2D_batch_20260330_195226/rpgTile132_stylized_Fall2D.jpg,0.51066649
input/Fall2D_batch_20260330_195226/rpgTile133_stylized_Fall2D.jpg,0.37063128
input/Fall2D_batch_20260330_195226/rpgTile134_stylized_Fall2D.jpg,0.51357681
input/Fall2D_batch_20260330_195226/rpgTile135_stylized_Fall2D.jpg,0.47104391
input/Fall2D_batch_20260330_195226/rpgTile136_stylized_Fall2D.jpg,0.61131823
input/Fall2D_batch_20260330_195226/rpgTile137_stylized_Fall2D.jpg,0.50538111
input/Fall2D_batch_20260330_195226/rpgTile138_stylized_Fall2D.jpg,0.37644663
input/Fall2D_batch_20260330_195226/rpgTile139_stylized_Fall2D.jpg,0.38166115
input/Fall2D_batch_20260330_195226/rpgTile140_stylized_Fall2D.jpg,0.39789549
input/Fall2D_batch_20260330_195226/rpgTile141_stylized_Fall2D.jpg,0.50424427
input/Fall2D_batch_20260330_195226/rpgTile142_stylized_Fall2D.jpg,0.53013635
input/Fall2D_batch_20260330_195226/rpgTile143_stylized_Fall2D.jpg,0.40617776
input/Fall2D_batch_20260330_195226/rpgTile144_stylized_Fall2D.jpg,0.65346575
input/Fall2D_batch_20260330_195226/rpgTile145_stylized_Fall2D.jpg,0.66268545
input/Fall2D_batch_20260330_195226/rpgTile146_stylized_Fall2D.jpg,0.40266770
input/Fall2D_batch_20260330_195226/rpgTile147_stylized_Fall2D.jpg,0.32719857
input/Fall2D_batch_20260330_195226/rpgTile148_stylized_Fall2D.jpg,0.25811726
input/Fall2D_batch_20260330_195226/rpgTile149_stylized_Fall2D.jpg,0.32326919
input/Fall2D_batch_20260330_195226/rpgTile150_stylized_Fall2D.jpg,0.48005357
input/Fall2D_batch_20260330_195226/rpgTile151_stylized_Fall2D.jpg,0.36370870
input/Fall2D_batch_20260330_195226/rpgTile152_stylized_Fall2D.jpg,0.39063215
input/Fall2D_batch_20260330_195226/rpgTile153_stylized_Fall2D.jpg,0.57444376
input/Fall2D_batch_20260330_195226/rpgTile154_stylized_Fall2D.jpg,0.58902162
input/Fall2D_batch_20260330_195226/rpgTile155_stylized_Fall2D.jpg,0.23315637
input/Fall2D_batch_20260330_195226/rpgTile156_stylized_Fall2D.jpg,0.42598426
input/Fall2D_batch_20260330_195226/rpgTile157_stylized_Fall2D.jpg,0.26877773
input/Fall2D_batch_20260330_195226/rpgTile158_stylized_Fall2D.jpg,0.45642358
input/Fall2D_batch_20260330_195226/rpgTile159_stylized_Fall2D.jpg,0.20483984
input/Fall2D_batch_20260330_195226/rpgTile160_stylized_Fall2D.jpg,0.41683784
input/Fall2D_batch_20260330_195226/rpgTile161_stylized_Fall2D.jpg,0.47524509
input/Fall2D_batch_20260330_195226/rpgTile162_stylized_Fall2D.jpg,0.63236988
input/Fall2D_batch_20260330_195226/rpgTile163_stylized_Fall2D.jpg,0.50514203
input/Fall2D_batch_20260330_195226/rpgTile164_stylized_Fall2D.jpg,0.51803005
input/Fall2D_batch_20260330_195226/rpgTile165_stylized_Fall2D.jpg,0.33243245
input/Fall2D_batch_20260330_195226/rpgTile166_stylized_Fall2D.jpg,0.36860636
input/Fall2D_batch_20260330_195226/rpgTile167_stylized_Fall2D.jpg,0.30894303
input/Fall2D_batch_20260330_195226/rpgTile168_stylized_Fall2D.jpg,0.42763662
input/Fall2D_batch_20260330_195226/rpgTile169_stylized_Fall2D.jpg,0.32370865
input/Fall2D_batch_20260330_195226/rpgTile170_stylized_Fall2D.jpg,0.33912206
input/Fall2D_batch_20260330_195226/rpgTile171_stylized_Fall2D.jpg,0.34445694
input/Fall2D_batch_20260330_195226/rpgTile172_stylized_Fall2D.jpg,0.31622267
input/Fall2D_batch_20260330_195226/rpgTile173_stylized_Fall2D.jpg,0.43777555
input/Fall2D_batch_20260330_195226/rpgTile174_stylized_Fall2D.jpg,0.29138169
input/Fall2D_batch_20260330_195226/rpgTile175_stylized_Fall2D.jpg,0.34715480
input/Fall2D_batch_20260330_195226/rpgTile176_stylized_Fall2D.jpg,0.22546764
input/Fall2D_batch_20260330_195226/rpgTile177_stylized_Fall2D.jpg,0.31970006
input/Fall2D_batch_20260330_195226/rpgTile178_stylized_Fall2D.jpg,0.32552853
input/Fall2D_batch_20260330_195226/rpgTile179_stylized_Fall2D.jpg,0.35056305
input/Fall2D_batch_20260330_195226/rpgTile180_stylized_Fall2D.jpg,0.18907665
input/Fall2D_batch_20260330_195226/rpgTile181_stylized_Fall2D.jpg,0.37554240
input/Fall2D_batch_20260330_195226/rpgTile182_stylized_Fall2D.jpg,0.36551598
input/Fall2D_batch_20260330_195226/rpgTile183_stylized_Fall2D.jpg,0.18774414
input/Fall2D_batch_20260330_195226/rpgTile184_stylized_Fall2D.jpg,0.21306105
input/Fall2D_batch_20260330_195226/rpgTile185_stylized_Fall2D.jpg,0.28677395
input/Fall2D_batch_20260330_195226/rpgTile186_stylized_Fall2D.jpg,0.34209290
input/Fall2D_batch_20260330_195226/rpgTile187_stylized_Fall2D.jpg,0.27940038
input/Fall2D_batch_20260330_195226/rpgTile188_stylized_Fall2D.jpg,0.36265138
input/Fall2D_batch_20260330_195226/rpgTile189_stylized_Fall2D.jpg,0.35264066
input/Fall2D_batch_20260330_195226/rpgTile190_stylized_Fall2D.jpg,0.31442478
input/Fall2D_batch_20260330_195226/rpgTile191_stylized_Fall2D.jpg,0.34262666
input/Fall2D_batch_20260330_195226/rpgTile192_stylized_Fall2D.jpg,0.30065522
input/Fall2D_batch_20260330_195226/rpgTile193_stylized_Fall2D.jpg,0.46314028
input/Fall2D_batch_20260330_195226/rpgTile194_stylized_Fall2D.jpg,0.38316590
input/Fall2D_batch_20260330_195226/rpgTile195_stylized_Fall2D.jpg,0.54680020
input/Fall2D_batch_20260330_195226/rpgTile196_stylized_Fall2D.jpg,0.28367329
input/Fall2D_batch_20260330_195226/rpgTile197_stylized_Fall2D.jpg,0.47156838
input/Fall2D_batch_20260330_195226/rpgTile198_stylized_Fall2D.jpg,0.26134077
input/Fall2D_batch_20260330_195226/rpgTile199_stylized_Fall2D.jpg,0.46104401
input/Fall2D_batch_20260330_195226/rpgTile200_stylized_Fall2D.jpg,0.30958650
input/Fall2D_batch_20260330_195226/rpgTile201_stylized_Fall2D.jpg,0.47782391
input/Fall2D_batch_20260330_195226/rpgTile202_stylized_Fall2D.jpg,0.45835444
input/Fall2D_batch_20260330_195226/rpgTile203_stylized_Fall2D.jpg,0.15752678
input/Fall2D_batch_20260330_195226/rpgTile204_stylized_Fall2D.jpg,0.14507109
input/Fall2D_batch_20260330_195226/rpgTile205_stylized_Fall2D.jpg,0.31107304
input/Fall2D_batch_20260330_195226/rpgTile206_stylized_Fall2D.jpg,0.39391980
input/Fall2D_batch_20260330_195226/rpgTile207_stylized_Fall2D.jpg,0.30133736
input/Fall2D_batch_20260330_195226/rpgTile208_stylized_Fall2D.jpg,0.30923846
input/Fall2D_batch_20260330_195226/rpgTile209_stylized_Fall2D.jpg,0.36367393
input/Fall2D_batch_20260330_195226/rpgTile210_stylized_Fall2D.jpg,0.30312285
input/Fall2D_batch_20260330_195226/rpgTile211_stylized_Fall2D.jpg,0.36283755
input/Fall2D_batch_20260330_195226/rpgTile212_stylized_Fall2D.jpg,0.31035686
input/Fall2D_batch_20260330_195226/rpgTile213_stylized_Fall2D.jpg,0.39200357
input/Fall2D_batch_20260330_195226/rpgTile214_stylized_Fall2D.jpg,0.31897351
input/Fall2D_batch_20260330_195226/rpgTile215_stylized_Fall2D.jpg,0.34496778
input/Fall2D_batch_20260330_195226/rpgTile216_stylized_Fall2D.jpg,0.33885166
input/Fall2D_batch_20260330_195226/rpgTile217_stylized_Fall2D.jpg,0.21492022
input/Fall2D_batch_20260330_195226/rpgTile218_stylized_Fall2D.jpg,0.20095716
input/Fall2D_batch_20260330_195226/rpgTile219_stylized_Fall2D.jpg,0.31034702
input/Fall2D_batch_20260330_195226/rpgTile220_stylized_Fall2D.jpg,0.33990484
input/Fall2D_batch_20260330_195226/rpgTile221_stylized_Fall2D.jpg,0.35351744
input/Fall2D_batch_20260330_195226/rpgTile222_stylized_Fall2D.jpg,0.28701183
input/Fall2D_batch_20260330_195226/rpgTile223_stylized_Fall2D.jpg,0.35786623
input/Fall2D_batch_20260330_195226/rpgTile224_stylized_Fall2D.jpg,0.31332836
input/Fall2D_batch_20260330_195226/rpgTile225_stylized_Fall2D.jpg,0.35157326
input/Fall2D_batch_20260330_195226/rpgTile226_stylized_Fall2D.jpg,0.39271292
input/Fall2D_batch_20260330_195226/rpgTile227_stylized_Fall2D.jpg,0.30702150
input/Fall2D_batch_20260330_195226/rpgTile228_stylized_Fall2D.jpg,0.34255299
input/Fall2Dgame_V2_batch_20260330_195328/rpgTile000_stylized_Fall2Dgame_V2.jpg,0.30437320
input/Fall2Dgame_V2_batch_20260330_195328/rpgTile001_stylized_Fall2Dgame_V2.jpg,0.58246541
input/Fall2Dgame_V2_batch_20260330_195328/rpgTile002_stylized_Fall2Dgame_V2.jpg,0.37512907
input/Fall2Dgame_V2_batch_20260330_195328/rpgTile003_stylized_Fall2Dgame_V2.jpg,0.59771448
input/Fall2Dgame_V2_batch_20260330_195328/rpgTile004_stylized_Fall2Dgame_V2.jpg,0.48313448
input/Fall2Dgame_V2_batch_20260330_195328/rpgTile005_stylized_Fall2Dgame_V2.jpg,0.14996004
input/Fall2Dgame_V2_batch_20260330_195328/rpgTile006_stylized_Fall2Dgame_V2.jpg,0.40994653
input/Fall2Dgame_V2_batch_20260330_195328/rpgTile007_stylized_Fall2Dgame_V2.jpg,0.21153060
input/Fall2Dgame_V2_batch_20260330_195328/rpgTile008_stylized_Fall2Dgame_V2.jpg,0.50662553
input/Fall2Dgame_V2_batch_20260330_195328/rpgTile009_stylized_Fall2Dgame_V2.jpg,0.58864337
input/Fall2Dgame_V2_batch_20260330_195328/rpgTile010_stylized_Fall2Dgame_V2.jpg,0.30350551
input/Fall2Dgame_V2_batch_20260330_195328/rpgTile011_stylized_Fall2Dgame_V2.jpg,0.32995483
input/Fall2Dgame_V2_batch_20260330_195328/rpgTile012_stylized_Fall2Dgame_V2.jpg,0.33510312
input/Fall2Dgame_V2_batch_20260330_195328/rpgTile013_stylized_Fall2Dgame_V2.jpg,0.36979151
input/Fall2Dgame_V2_batch_20260330_195328/rpgTile014_stylized_Fall2Dgame_V2.jpg,0.33271477
input/Fall2Dgame_V2_batch_20260330_195328/rpgTile015_stylized_Fall2Dgame_V2.jpg,0.48898694
input/Fall2Dgame_V2_batch_20260330_195328/rpgTile016_stylized_Fall2Dgame_V2.jpg,0.61816800
